run_index	condition	diag_score	baseline_size	empirical_p	empirical_p_low	empirical_p_two_sided	z_from_p	neglog10_p	perm_p_derangements_high	perm_p_derangements_low	perm_p_derangements_two_sided	z_perm_calibrated_derangements
102	control	5.0	221	0.7927927927927928	0.46396396396396394	0.9279279279279279	-0.8161498870226596	0.1008403066364888	0.792020207979792	0.2535927464072536	0.5071854928145072	-0.8134509041408562
103	control	7.0	221	0.20270270270270271	0.8783783783783784	0.40540540540540543	0.8320062700164728	0.6931404606752949	0.19938280061719937	0.8731611268388731	0.39876560123439875	0.8438278664465599
104	control	4.0	221	0.9414414414414415	0.23423423423423423	0.46846846846846846	-1.5669896232638034	0.026206688339584606	0.9413050586949413	0.17213482786517215	0.3442696557303443	-1.565823758174084
105	control	4.0	221	nan	nan	nan	nan	nan	nan	nan	nan	nan
106	control	4.0	221	0.9774774774774775	0.49099099099099097	0.9819819819819819	-2.00423357987982	0.009893240602109115	0.9775390224609776	0.4662015337984662	0.9324030675969324	-2.0053845222966915
107	control	6.0	221	0.5405405405405406	0.7252252252252253	1.0	-0.10179559909470504	0.2671717284030138	0.5384474615525384	0.7197872802127198	1.0	-0.09652316489446194
108	control	6.0	221	0.581081081081081	0.7297297297297297	1.0	-0.20465991857047594	0.23576326415138973	0.5791014208985791	0.4754435245564754	0.9508870491129509	-0.19959523054557848
109	control	6.0	221	0.5630630630630631	0.8198198198198198	1.0	-0.15873980759786757	0.24944296144258218	0.5612344387655612	0.7601122398877601	1.0	-0.15409970298234432
110	control	12.0	221	0.18468468468468469	0.8423423423423423	0.36936936936936937	0.8976552584244694	0.7335691177309032	0.18094681905318094	0.6789043210956789	0.3618936381063619	0.9117627218530038
111	control	6.0	221	0.4369369369369369	0.9234234234234234	0.8738738738738738	0.15873980759786757	0.3595812401843938	0.43474456525543476	0.9004900995099004	0.8694891305108695	0.16430743302592005
112	control	4.0	221	0.990990990990991	0.2882882882882883	0.5765765765765766	-2.3652476466815213	0.003930293628432402	0.991058008941991	0.2763187236812763	0.5526374473625526	-2.3680114562755454
113	control	4.0	221	nan	nan	nan	nan	nan	nan	nan	nan	nan
114	control	6.0	221	0.46396396396396394	0.8603603603603603	0.9279279279279279	0.09045213597816885	0.33351574974546644	0.4616405383594616	0.8551241448758551	0.9232810767189232	0.0963015542426971
115	control	4.0	221	0.9684684684684685	0.35135135135135137	0.7027027027027027	-1.8587466122710703	0.013914514535033303	0.9682200317799682	0.31667868332131666	0.6333573666426333	-1.8552541909145148
